Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2022-07-28;04:15:03;-21.99;-70.26;45; ;Mw;6.1;OFFSHORE ANTOFAGASTA, CHILE;2022-07-28 06:11;1153568;
2022-07-27;18:58:58;-22.27;-68.55;108; ;Mw;6.2;ANTOFAGASTA, CHILE;2022-07-28 06:17;1153404;
2022-07-27;00:43:23;17.48;120.83;10; ;Mw;7.0;LUZON, PHILIPPINES;2022-07-27 06:41;1153080;
2022-07-15;19:37:20;-44.62;-79.63;10; ;Mw;6.4;OFF COAST OF AISEN, CHILE;2022-07-16 07:48;1149012;
2022-07-12;19:16:59;-22.57;-114.27;10; ;Mw;6.8;EASTER ISLAND REGION;2022-07-13 07:06;1147877;
2022-07-11;21:10:48;-18.14;169.03;10; ;Mw;6.0;VANUATU;2022-07-12 06:18;1147587;
2022-07-01;23:25:13;26.86;55.36;10;f;Mw;6.0;SOUTHERN IRAN;2022-07-04 07:49;1144244;
2022-07-01;21:32:07;26.89;55.29;10; ;Mw;6.0;SOUTHERN IRAN;2022-07-04 06:29;1144208;
2022-06-30;18:40:38;19.03;121.34;47; ;Mw;6.0;BABUYAN ISL REGION, PHILIPPINES;2022-07-01 06:16;1143847;
2022-06-08;00:55:46;-9.08;-71.26;621; ;Mw;6.5;PERU-BRAZIL BORDER REGION;2022-06-08 06:35;1136218;
2022-06-04;23:38:11;52.08;178.26;105; ;Mw;6.3;RAT ISLANDS, ALEUTIAN ISLANDS;2022-06-05 07:48;1135182;
2022-06-04;13:17:49;-57.73;148.42;10; ;Mw;6.4;WEST OF MACQUARIE ISLAND;2022-06-05 07:43;1135052;
2022-06-04;13:07:26;-17.90;-175.07;237; ;Mw;6.3;TONGA;2022-06-05 07:41;1135047;
2022-05-27;02:36:04;-8.30;127.11;42; ;Mw;6.2;EAST TIMOR REGION;2022-05-27 09:34;1132260;
2022-05-26;18:10:05;-49.77;-115.03;15;f;Mw;6.2;SOUTHERN EAST PACIFIC RISE;2022-05-27 09:49;1132131;
2022-05-26;15:38:00;-22.59;172.16;15;f;Mw;6.4;SOUTHEAST OF LOYALTY ISLANDS;2022-05-26 16:00;1132090;
2022-05-26;12:02:19;-14.86;-70.26;211; ;Mw;7.2;SOUTHERN PERU;2022-05-26 12:21;1132032;
2022-05-22;15:17:33;33.19;141.42;28; ;Mw;6.0;OFF EAST COAST OF HONSHU, JAPAN;2022-05-23 07:05;1130801;
2022-05-22;07:06:27;-26.23;178.38;580; ;Mw;6.3;SOUTH OF FIJI ISLANDS;2022-05-22 09:03;1130666;
2022-05-21;21:50:47;13.96;120.66;128; ;Mw;6.1;MINDORO, PHILIPPINES;2022-05-22 09:17;1130541;
2022-05-19;10:13:32;-54.07;159.16;15;f;Mw;6.9;MACQUARIE ISLAND REGION;2022-05-19 11:15;1129700;
2022-05-10;23:06:28;-23.60;-66.70;176; ;Mw;6.8;JUJUY, ARGENTINA;2022-05-10 23:24;1127056;
2022-05-09;22:33:06;-3.37;146.31;10; ;Mw;6.3;BISMARCK SEA;2022-05-10 07:18;1126732;
2022-05-09;06:23:00;24.02;122.49;20; ;Mw;6.3;TAIWAN REGION;2022-05-09 06:49;1126476;
2022-04-28;13:21:14;-4.00;146.58;10; ;Mw;6.0;EASTERN NEW GUINEA REG., P.N.G.;2022-04-28 14:12;1123013;
2022-04-21;07:42:45;11.66;-86.92;24; ;Mw;6.7;NEAR COAST OF NICARAGUA;2022-04-21 09:08;1120541;
2022-04-20;21:57:43;7.02;126.91;26; ;Mw;6.0;MINDANAO, PHILIPPINES;2022-04-21 06:41;1120404;
2022-04-19;04:33:41;-21.38;-173.98;10;f;Mw;6.0;TONGA;2022-04-19 06:37;1119749;
2022-04-19;01:23:08;7.24;126.88;31; ;Mw;6.1;MINDANAO, PHILIPPINES;2022-04-19 06:40;1119688;
2022-04-17;07:46:36;-15.67;167.85;206; ;Mw;6.1;VANUATU;2022-04-17 13:05;1119062;
2022-04-09;20:52:37;-16.25;166.83;10;f;Mw;6.3;VANUATU;2022-04-10 08:04;1116211;
2022-04-04;16:06:56;-17.38;167.95;31; ;Mw;6.0;VANUATU;2022-04-04 18:53;1114387;
2022-03-31;19:50:39;-22.59;170.82;10; ;Mw;6.4;SOUTHEAST OF LOYALTY ISLANDS;2022-04-19 14:46;1113060;
2022-03-31;05:44:01;-22.49;170.44;10; ;Mw;7.0;SOUTHEAST OF LOYALTY ISLANDS;2022-03-31 07:18;1112848;
2022-03-30;20:56:58;-22.55;170.54;10;f;Mw;6.9;SOUTHEAST OF LOYALTY ISLANDS;2022-04-19 14:48;1112691;
2022-03-23;21:57:00;-15.10;167.44;127; ;Mw;6.0;VANUATU;2022-03-24 07:45;1110170;
2022-03-22;17:43:25;23.46;121.46;19; ;ML;6.1;TAIWAN;2022-03-22 17:58;1109697;
2022-03-22;17:41:39;23.41;121.57;30; ;Mw;6.7;TAIWAN;2022-03-22 18:03;1109693;
2022-03-22;16:35:09;10.77;-43.46;10; ;Mw;6.7;NORTHERN MID-ATLANTIC RIDGE;2022-03-24 07:51;1109675;
2022-03-20;18:10:44;-28.90;-177.38;51; ;Mw;6.1;KERMADEC ISLANDS REGION;2022-03-21 08:10;1108903;
2022-03-19;21:24:24;-25.34;-176.33;36; ;Mw;6.3;SOUTH OF FIJI ISLANDS;2022-03-20 14:49;1108626;
2022-03-16;14:36:32;37.73;141.62;49; ;Mw;7.3;NEAR EAST COAST OF HONSHU, JAPAN;2022-03-16 15:18;1107417;
2022-03-16;14:34:27;37.70;141.68;60; ;Mw;6.4;NEAR EAST COAST OF HONSHU, JAPAN;2022-03-16 15:19;1107416;
2022-03-13;21:09:21;-0.59;98.62;20;f;Mw;6.6;KEPULAUAN BATU, INDONESIA;2022-03-13 21:30;1106399;
2022-03-13;21:05:49;14.07;119.44;10; ;Mw;6.4;LUZON, PHILIPPINES;2022-03-13 21:27;1106397;
2022-03-07;05:34:17;-20.38;-178.36;566; ;Mw;6.1;FIJI REGION;2022-03-07 07:43;1104183;
2022-03-06;20:14:31;-58.64;-24.89;20;f;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2022-03-07 07:34;1104061;
2022-03-02;12:52:09;-30.14;-177.80;40; ;Mw;6.6;KERMADEC ISLANDS, NEW ZEALAND;2022-03-02 13:17;1102530;
2022-02-25;01:39:27;0.24;100.02;10;f;Mw;6.2;NORTHERN SUMATRA, INDONESIA;2022-02-25 07:45;1100446;
2022-02-22;06:12:49;-22.69;-66.24;231; ;Mw;6.0;JUJUY, ARGENTINA;2022-02-22 07:13;1099416;
2022-02-21;23:24:12;-69.80;165.37;10;f;Mw;6.3;BALLENY ISLANDS REGION;2022-02-22 07:35;1099311;
2022-02-16;20:21:06;-23.81;-180.00;520; ;Mw;6.8;SOUTH OF FIJI ISLANDS;2022-02-16 20:57;1097559;
2022-02-16;07:12:26;14.25;-91.22;100; ;Mw;6.2;GUATEMALA;2022-02-16 07:43;1097391;
2022-02-08;11:59:27;-0.47;-19.83;10; ;Mw;6.1;CENTRAL MID-ATLANTIC RIDGE;2022-02-08 12:26;1094995;
2022-02-04;20:25:09;-48.11;99.41;10;f;Mw;6.3;SOUTHEAST INDIAN RIDGE;2022-02-05 09:03;1093797;
2022-02-03;15:58:56;-4.45;-76.86;100; ;Mw;6.5;NORTHERN PERU;2022-02-03 16:21;1093462;
2022-01-29;02:46:39;-29.61;-176.64;10; ;Mw;6.5;KERMADEC ISLANDS REGION;2022-01-29 20:36;1091612;
2022-01-28;11:14:10;5.46;-82.66;10;f;Mw;6.1;SOUTH OF PANAMA;2022-01-28 14:10;1091393;
2022-01-27;06:40:06;-19.10;-176.38;10;f;Mw;6.2;FIJI REGION;2022-01-27 07:46;1091045;
2022-01-25;01:24:33;-55.45;-28.79;10; ;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2022-01-25 07:43;1090324;
2022-01-22;05:17:07;53.34;-166.79;51; ;Mw;6.2;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-22 11:30;1089478;
2022-01-22;02:26:15;3.73;126.70;40; ;Mw;6.0;KEPULAUAN TALAUD, INDONESIA;2022-01-22 11:36;1089410;
2022-01-21;16:08:37;32.77;132.04;42;f;Mw;6.3;SHIKOKU, JAPAN;2022-01-21 17:04;1089259;
2022-01-16;12:52:10;-6.43;154.80;409; ;Mw;6.1;BOUGAINVILLE REGION, P.N.G.;2022-01-16 14:16;1087618;
2022-01-14;09:05:43;-6.78;105.36;40; ;Mw;6.6;SUNDA STRAIT, INDONESIA;2022-01-14 09:56;1086932;
2022-01-11;12:39:33;52.64;-168.15;16;f;Mw;6.5;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-11 13:24;1085973;
2022-01-11;11:35:47;52.77;-167.93;21; ;Mw;6.8;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-11 12:08;1085954;
2022-01-11;01:07:49;35.24;31.93;25;f;Mw;6.6;CYPRUS REGION;2022-01-11 07:57;1085800;
2022-01-10;00:06:31;-33.85;179.64;10;f;Mw;6.1;SOUTH OF KERMADEC ISLANDS;2022-01-10 07:42;1085430;
2022-01-07;17:45:31;37.83;101.41;10; ;Mw;6.6;NORTHERN QINGHAI, CHINA;2022-01-10 07:59;1084798;
2022-01-06;16:25:07;12.00;-87.10;28; ;Mw;6.1;NEAR COAST OF NICARAGUA;2022-01-07 08:02;1084468;
2022-01-04;20:55:47;-4.78;125.06;549; ;Mw;6.0;BANDA SEA;2022-01-05 07:42;1083957;
2022-01-04;03:18:37;35.28;-35.36;10;f;Mw;6.1;NORTHERN MID-ATLANTIC RIDGE;2022-01-04 08:15;1083747;
2022-01-03;09:46:38;24.08;122.26;30;f;Mw;6.2;TAIWAN REGION;2022-01-03 10:23;1083540;
